"616","awestwārīh"
"617","awināh"
"618","awinast"
"619","awiš"
"620","awištāb"
"621","awištādan awišt-"
"622","awištāftan awištāb-"
"623","āwištan āwāš-"
"624","awiyābānīg"
"625","awizīrišnīg"
"626","āwurdan āwar-"
"627","ā̆xrāmīdan ā̆xrām-"
"628","abar āxistan"
"629","abar ā̆xrāmīdan"
"630","āxēzīdan"
"631","āxistan āxēz-"
"632","axtar"
"633","axtarāmār axtarmār"
"634","axtarāmārīh axtarmārīh"
"635","axw"
"636","axw"
"637","axw"
"638","axwamn"
"639","axwān"
"640","axwārīh"
"641","āxwarr"
"642","āxwarrsālār"
"643","axwaš"
"644","axwašīh"
"645","axwēškār"
"646","āmadan āy-"
"647","ay"
"648","āy-"
"649","ayāb"
"650","ayāb-"
"651","ayābāg"
"652","ayābāgīh"
"653","ayād"
"654","ayādgār"
"655","ayād kardan"
"656","āyaft"
"657","ayāftan ayāb-"
"658","ayār"
"659","ayārdēnīdan ayārdēn-"
"660","ayārdēnišn"
"661","ayārdīdan ayārd-"
"662","ayārīdan ayār-"
"663","ayārīh"
"664","ayārōmand"
"665","ayārōmandīh"
"666","ayāsīdan ayās-"
"667","ayāsišnīh"
"668","ayāstan"
"669","āyišm"
"670","ayōxšust"
"671","ayōxšustēn"
"672","āyōxtan āyōz-"
"673","āyōzīdan"
"674","āyōzīdan āyōz-"
"675","āyōzišn"
"676","āyōzišn āyōzišnīh"
"677","abāz ēstādan az"
"678","abāz kardan az"
"679","az"
"680","az"
"681","az"
"682","āz"
"683","az ... ōrōn"
"684","az daxšag hištan"
"685","azabar"
"686","āzād"
"687","āzādīh"
"688","āzādīh guftan āzādīh hangārdan āzādīh kardan pad āzādīh dāštan"
"689","āzār"
"690","āzardan"
"691","āzārdan āzār-"
"692","āzārišn"
"693","āzarm"
"694","āzarm"
"695","azarmān"
"696","āzarmīg"
"697","āzarmīgīh"
"698","azbāy-"
"699","azbāyišn"
"700","azd"
"701","Azdahāg"
"702","azdēnīdan azdēn-"
"703","azēr"
"704","azg"
"705","aziš"
"706","aziškeh"
"707","azišmeh"
"708","āzkāmag"
"709","āzkāmagīh"
"710","azmūdan azmāy-"
"711","āznāwar"
"712","azraw-"
"713","azrāy-"
"714","azruftan azraw-"
"715","āzurdan"
"716","āzwar"
"717","āzwarīh"
"718","frāz az"
"719","jud az"
"720","pardaxtan az"
"721","pardāxtan az"
"722","pargūd az"
"723","pas az"
"724","b-"
"725","babr"
"726","babrag"
"727","bad"
"728","bādag"
"729","bāγ"
"730","baγōbaxt"
"731","bahr bahrag"
"732","ān bahrag rāy az ān bahrag rāy"
"733","bahrōmand"
"734","bahrōmandīh"
"735","bahrwar bahragwar"
"736","bahrwarīh bahragwarīh"
"737","bāj"
"738","balādur"
"739","bālag"
"740","bālāy"
"741","bālēn"
"742","bālēn"
"743","bālēngah"
"744","balgam"
"745","bāliš"
"746","bālist"
"747","bālistīg"
"748","bālistīh"
"749","bām"
"750","bāmbišn"
"751","bāmdād"
"752","bāmīg"
"753","#NAME?"
"754","band"
"755","band-"
"756","bandag"
"757","bang"
"758","bānūg"
"759","bar"
"760","bār"
"761","bār"
"762","bār"
"763","bār"
"764","bar- barišn"
"765","bārag"
"766","barbut"
"767","bārestān"
"768","bārestānīh"
"769","bārīg bārīk"
"770","bārišn"
"771","bārjāmag"
"772","barōmand"
"773","baršnūm"
"774","barsom"
"775","bāš"
"776","bašn"
"777","bāstān"
"778","bastan band-"
"779","baw- bawišn"
"780","bawišn"
"781","baxš- baxsišn"
"782","baxšišn"
"783","baxt"
"784","baxtan baxš-"
"785","bay"
"786","bayaspān"
"787","bayaspānīg"
"788","bayaspānīh"
"789","bāz"
"790","bāzā"
"791","bāzābānag"
"792","bazag"
"793","bazagīh"
"794","bazakkar"
"795","bāzāzanišnīh"
"796","bazišn"
"797","bazm"
"798","bazmāwurd"
"799","būdan baw-"
"800","burdan bar-"
"801","im bay"
"802","ōy bay"
"803","bē̆"
"804","be"
"805","bē̆ ... enyā ... nē"
"806","bē̆ az"
"807","#NAME?"
"808","bēdom"
"809","bēgānag"
"810","bēgār"
"811","bēh"
"812","bēl"
"813","bēlūr"
"814","bērōn"
"815","bēš"
"816","bēš- bēsišn"
"817","bēšāz"
"818","bēšāz bēšāzēn"
"819","bēšāzēnišnīh"
"820","bēš burdan"
"821","bēšburdār"
"822","bēšīdan"
"823","bēšišn"
"824","bēšōmand"
"825","bēwar"
"826","bištan bēš-"
"827","bid"
"828","bidaxš"
"829","bijagān"
"830","bīm"
"831","bīmgēn"
"832","bīmgēnīh"
"833","bīmōmand"
"834","bīš"
"835","bistag"
"836","bištan bēš-"
"837","bizešk"
"838","bōb"
"839","bōr"
"840","borz"
"841","borzwāng"
"842","borzwāngīhā"
"843","bowandag"
"844","bowandagīh"
"845","bowandagmenišnīh"
"846","bōxtag"
"847","bōxtagīh"
"848","bōxtan bōz-"
"849","bōxtār"
"850","bōxtārīh"
"851","bōy"
"852","bōy"
"853","bōyāg"
"854","bōydār"
"855","bōyēnīdan bōyēn-"
"856","bōyestān"
"857","bōyestānbān"
"858","bōyīdan bōy-"
"859","bōzišn"
"860","brād"
"861","brādar"
"862","brādarōd"
"863","brādarōdīh"
"864","brāh"
"865","brahm brahmag"
"866","brahnag"
"867","brām"
"868","brāmag"
"869","brāzīdan brāz-"
"870","brāzišn"
"871","brāzišnīg"
"872","brēh"
"873","brēhēnāg"
"874","brēhēnīdan brēhēn"
"875","brēhēnišn"
"876","brēz-"
"877","brēzan"
"878","brīdan brīn-"
"879","brīn"
"880","brīngar"
"881","brinj"
"882","brinj"
"883","brinjēn"
"884","brīnōmand"
"885","brištan brēz-"
"886","brūg"
"887","frāz brēhēnīdan"
"888","abar burdan"
"889","andar budan"
"890","būdan baw-"
"891","būf"
"892","būg"
"893","buland"
"894","būm"
"895","būmcandag"
"896","bun"
"897","bun"
"898","bunag"
"899","bunag dāštan"
"900","bundahišnīh"
"901","bunīh"
"902","buništ"
"903","buništag"
"904","bunkadag"
